Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
ALTO,Tri Banyan Tirta Tbk.,2012-07-10,2191870558,Utama,Consumer Non-Cyclicals,166,363850512628,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2012-07-10,2022-10-14
AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23,5001552516,Pengembangan,Financials,340,1700527855440,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2005-12-23,2022-10-14
AMAN,Makmur Berkah Amanda Tbk.,2020-03-13,3873500000,Utama,Properties & Real Estate,680,2633980000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2020-03-13,2022-10-14
AMAR,Bank Amar Indonesia Tbk.,2020-01-09,13681871000,Pengembangan,Financials,292,3995106332000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2020-01-09,2022-10-14
AMFG,Asahimas Flat Glass Tbk.,1995-11-08,434000000,Utama,Industrials,4880,2117920000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
AMIN,Ateliers Mecaniques D Indonesi,2015-12-10,1080000000,Pengembangan,Industrials,122,131760000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2015-12-10,2022-10-14
AMMS,Agung Menjangan Mas Tbk.,2022-08-04,1200000000,Akselerasi,Consumer Non-Cyclicals,86,103200000000,2022-08-04 09:00:00,2022-10-14 15:59:00,2022-08-04 09:00:00,2022-10-14 16:00:00,2022-08-04,2022-10-14
AMOR,Ashmore Asset Management Indon,2020-01-14,2222222400,Pengembangan,Financials,1190,2644444656000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2020-01-14,2022-10-14
AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15,41524501700,Utama,Consumer Non-Cyclicals,2510,104226499267000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2009-01-15,2022-10-14
ANDI,Andira Agro Tbk.,2018-08-16,9350000000,Pengembangan,Consumer Non-Cyclicals,50,467500000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2018-08-16,2022-10-14
ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08,3354175000,Utama,Consumer Non-Cyclicals,720,2415006000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2013-05-08,2022-10-14
ANTM,Aneka Tambang Tbk.,1997-11-27,24030764725,Utama,Basic Materials,1820,43735991799500,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
APEX,Apexindo Pratama Duta Tbk.,2013-06-05,2796804997,Pengembangan,Energy,356,995662578932,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2013-06-05,2022-10-14
APIC,Pacific Strategic Financial Tb,2002-12-18,11766313488,Pengembangan,Financials,1125,13237102674000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2002-12-18,2022-10-14
APII,Arita Prima Indonesia Tbk.,2013-10-29,1075760000,Pengembangan,Industrials,185,199015600000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2013-10-29,2022-10-14
APLI,Asiaplast Industries Tbk.,2000-05-01,1362671400,Utama,Basic Materials,204,277984965600,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
APLN,Agung Podomoro Land Tbk.,2010-11-11,22699326779,Utama,Properties & Real Estate,115,2610422579585,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2010-11-11,2022-10-14
ARCI,Archi Indonesia Tbk.,2021-06-28,24835000000,Utama,Basic Materials,324,8046540000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2021-06-28 09:00:00,2022-10-14 16:00:00,2021-06-28,2022-10-14
ARGO,Argo Pantes Tbk,1991-01-07,335557450,Pengembangan,Consumer Cyclicals,1040,348979748000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ARII,Atlas Resources Tbk.,2011-11-08,3131000000,Pengembangan,Energy,370,1158470000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2011-11-08,2022-10-14
ARKA,Arkha Jayanti Persada Tbk.,2019-07-10,2000000000,Pengembangan,Industrials,50,100000000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2019-07-10,2022-10-14
ARKO,Arkora Hydro Tbk.,2022-07-08,2928495000,Pengembangan,Infrastructures,630,1844951850000,2022-07-08 09:00:00,2022-10-14 15:59:00,2022-07-08 09:00:00,2022-10-14 16:00:00,2022-07-08,2022-10-14
ARMY,Armidian Karyatama Tbk.,2017-06-21,9006250000,Pengembangan,Properties & Real Estate,,,,,,,2017-06-21,2022-10-14
ARNA,Arwana Citramulia Tbk.,2001-07-17,7341430976,Utama,Industrials,900,6607287878400,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-07-17,2022-10-14
ARTA,Arthavest Tbk,2002-11-05,446674175,Pengembangan,Consumer Cyclicals,2440,1089884987000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2002-11-05,2022-10-14
ARTI,Ratu Prabu Energi Tbk,2003-04-30,7840000000,Utama,Energy,50,392000000000,2021-11-01 09:00:00,2021-12-03 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2003-04-30,2022-10-14
ARTO,Bank Jago Tbk.,2016-01-12,13717687500,Pengembangan,Financials,5025,68931379687500,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2016-01-12,2022-10-14
ASBI,Asuransi Bintang Tbk.,1989-11-29,348386472,Pengembangan,Financials,525,182902897800,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ASDM,Asuransi Dayin Mitra Tbk.,1989-12-15,192000000,Utama,Financials,965,185280000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ASGR,Astra Graphia Tbk.,1989-11-15,1348780500,Utama,Industrials,885,1193670742500,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ASHA,Cilacap Samudera Fishing Indus,2022-05-27,5000000000,Pengembangan,Consumer Non-Cyclicals,175,875000000000,2022-06-06 09:00:00,2022-10-14 15:59:00,2022-05-30 09:00:00,2022-10-14 16:00:00,2022-05-27,2022-10-14
ASII,Astra International Tbk.,1990-04-04,40483553140,Utama,Industrials,6350,257070562439000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ASJT,Asuransi Jasa Tania Tbk.,2003-12-23,1288890696,Pengembangan,Financials,134,172711353264,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2003-12-23,2022-10-14
ASLC,Autopedia Sukses Lestari Tbk.,2022-01-25,12746354780,Pengembangan,Consumer Cyclicals,144,1835475088320,2022-01-25 09:00:00,2022-10-14 15:59:00,2022-01-25 09:00:00,2022-10-14 16:00:00,2022-01-25,2022-10-14
ASMI,Asuransi Maximus Graha Persada,2014-01-16,8958380460,Utama,Financials,128,1146672698880,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2014-01-16,2022-10-14
ASPI,Andalan Sakti Primaindo Tbk.,2020-02-17,681794825,Pengembangan,Properties & Real Estate,102,69543072150,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2020-02-17,2022-10-14
ASRI,Alam Sutera Realty Tbk.,2007-12-18,19649411888,Utama,Properties & Real Estate,170,3340400020960,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2007-12-18,2022-10-14
ASRM,Asuransi Ramayana Tbk.,1990-03-19,304283840,Pengembangan,Financials,1575,479247048000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ASSA,Adi Sarana Armada Tbk.,2012-11-12,3565786162,Utama,Transportation & Logistic,1100,3922364778200,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2012-11-12,2022-10-14
ATAP,Trimitra Prawara Goldland Tbk.,2020-12-11,1250000000,Pengembangan,Properties & Real Estate,87,108750000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-12-11 09:00:00,2022-10-14 16:00:00,2020-12-11,2022-10-14
ATIC,Anabatic Technologies Tbk.,2015-07-08,2315361355,Utama,Technology,386,893729483030,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2015-07-08,2022-10-14
AUTO,Astra Otoparts Tbk.,1998-06-15,4819733000,Utama,Consumer Cyclicals,1195,5759580935000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
AVIA,Avia Avian Tbk.,2021-12-08,61953555600,Utama,Basic Materials,770,47704237812000,2021-12-08 09:00:00,2022-10-14 15:59:00,2021-12-08 09:00:00,2022-10-14 16:00:00,2021-12-08,2022-10-14
AXIO,Tera Data Indonusa Tbk.,2022-07-20,5840126500,Pengembangan,Technology,260,1518432890000,2022-07-20 09:00:00,2022-10-14 15:59:00,2022-07-20 09:00:00,2022-10-14 16:00:00,2022-07-20,2022-10-14
AYLS,Agro Yasa Lestari Tbk.,2020-02-12,853423236,Pengembangan,Basic Materials,79,67420435644,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2020-02-12,2022-10-14
BABP,Bank MNC Internasional Tbk.,2002-07-15,31068563770,Pengembangan,Financials,102,3168993504540,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2002-07-15,2022-10-14
BACA,Bank Capital Indonesia Tbk.,2007-10-04,7007631839,Pengembangan,Financials,155,1086182935045,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2007-10-04,2022-10-14
BAJA,Saranacentral Bajatama Tbk.,2011-12-21,1800000000,Pengembangan,Basic Materials,156,280800000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2011-12-21,2022-10-14
BALI,Bali Towerindo Sentra Tbk.,2014-03-13,3934592500,Utama,Infrastructures,815,3206692887500,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2014-03-13,2022-10-14
BANK,Bank Aladin Syariah Tbk.,2021-02-01,13134311698,Pengembangan,Financials,1515,19898482222470,2021-11-01 09:00:00,2022-10-14 15:59:00,2021-02-01 09:00:00,2022-10-14 16:00:00,2021-02-01,2022-10-14
BAPA,Bekasi Asri Pemula Tbk.,2008-01-14,661784520,Utama,Properties & Real Estate,121,80075926920,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2008-01-14,2022-10-14
BAPI,Bhakti Agung Propertindo Tbk.,2019-09-16,5591752986,Pengembangan,Properties & Real Estate,50,279587649300,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2019-09-16,2022-10-14
BATA,Sepatu Bata Tbk.,1982-03-24,1300000000,Utama,Consumer Cyclicals,490,637000000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BAUT,Mitra Angkasa Sejahtera Tbk.,2022-01-28,4800000000,Pengembangan,Consumer Cyclicals,51,244800000000,2022-01-28 09:00:00,2022-10-14 15:59:00,2022-01-28 09:00:00,2022-10-14 16:00:00,2022-01-28,2022-10-14
BAYU,Bayu Buana Tbk,1989-10-30,353220780,Pengembangan,Consumer Cyclicals,1100,388542858000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BBCA,Bank Central Asia Tbk.,2000-05-31,122042299500,Utama,Financials,8250,1006848970875000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BBHI,Allo Bank Indonesia Tbk.,2015-08-12,21512953877,Pengembangan,Financials,1675,36034197743975,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2015-08-12,2022-10-14
BBKP,Bank KB Bukopin Tbk.,2006-07-10,67019885160,Utama,Financials,139,9315764037240,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2006-07-10,2022-10-14
BBLD,Buana Finance Tbk.,1990-05-07,1645796054,Pengembangan,Financials,535,880500888890,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BBMD,Bank Mestika Dharma Tbk.,2013-07-08,4049189100,Utama,Financials,1955,7916164690500,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2013-07-08,2022-10-14
BBNI,Bank Negara Indonesia (Persero,1996-11-25,18462169893,Utama,Financials,8425,155543781348525,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BBRI,Bank Rakyat Indonesia (Persero,2003-11-10,150043411587,Utama,Financials,4270,640685367476490,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2003-11-10,2022-10-14
BBRM,Pelayaran Nasional Bina Buana ,2013-01-09,8479490328,Utama,Energy,50,423974516400,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2013-01-09,2022-10-14
BBSI,Bank Bisnis Internasional Tbk.,2020-09-07,3274178463,Pengembangan,Financials,4650,15224929852950,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-09-07 09:00:00,2022-10-14 16:00:00,2020-09-07,2022-10-14
BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15,4800016020,Pengembangan,Properties & Real Estate,61,292800977220,2021-11-01 09:00:00,2022-10-14 15:59:00,2022-04-18 09:00:00,2022-10-14 16:00:00,2020-04-15,2022-10-14
BBTN,Bank Tabungan Negara (Persero),2009-12-17,10484100000,Utama,Financials,1470,15411627000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2009-12-17,2022-10-14
BBYB,Bank Neo Commerce Tbk.,2015-01-13,9327465018,Utama,Financials,750,6995598763500,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2015-01-13,2022-10-14
BCAP,MNC Kapital Indonesia Tbk.,2001-06-08,42618850927,Utama,Financials,107,4560217049189,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-06-08,2022-10-14
BCIC,Bank JTrust Indonesia Tbk.,1997-06-25,13996806290,Pengembangan,Financials,141,1973549686890,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BCIP,Bumi Citra Permai Tbk.,2009-12-11,1429915525,Pengembangan,Properties & Real Estate,64,91514593600,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2009-12-11,2022-10-14
BDMN,Bank Danamon Indonesia Tbk.,1989-12-06,9675817341,Utama,Financials,3000,29027452023000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BEBS,Berkah Beton Sadaya Tbk.,2021-03-10,9000000000,Pengembangan,Basic Materials,3980,35820000000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2021-03-10 09:00:00,2022-10-14 16:00:00,2021-03-10,2022-10-14
BEEF,Estika Tata Tiara Tbk.,2019-01-10,1884312595,Pengembangan,Consumer Non-Cyclicals,58,109290130510,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2019-01-10,2022-10-14
BEKS,Bank Pembangunan Daerah Banten,2001-07-13,51351733883,Pengembangan,Financials,50,2567586694150,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-07-13,2022-10-14
BELL,Trisula Textile Industries Tbk,2017-10-03,7250000000,Pengembangan,Consumer Cyclicals,124,899000000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2017-10-03,2022-10-14
BESS,Batulicin Nusantara Maritim Tb,2020-03-09,3412610636,Pengembangan,Energy,195,665459074020,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2020-03-09,2022-10-14
BEST,Bekasi Fajar Industrial Estate,2012-04-10,9647311150,Utama,Properties & Real Estate,156,1504980539400,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2012-04-10,2022-10-14
BFIN,BFI Finance  Indonesia Tbk.,1990-05-16,15967115620,Utama,Financials,995,15887280041900,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BGTG,Bank Ganesha Tbk.,2016-05-12,16303371203,Pengembangan,Financials,96,1565123635488,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2016-05-12,2022-10-14
BHAT,Bhakti Multi Artha Tbk.,2020-04-15,5000000000,Pengembangan,Financials,860,4300000000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2022-04-18 09:00:00,2022-10-14 16:00:00,2020-04-15,2022-10-14
BHIT,MNC Investama Tbk.,1997-11-24,86068156705,Utama,Industrials,63,5422293872415,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14,592280000,Pengembangan,Properties & Real Estate,130,76996400000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2015-07-14,2022-10-14
BIKE,Sepeda Bersama Indonesia Tbk.,2022-03-21,1293334000,Pengembangan,Consumer Cyclicals,224,289706816000,2022-03-21 09:00:00,2022-10-14 15:59:00,2022-03-21 09:00:00,2022-10-14 16:00:00,2022-03-21,2022-10-14
BIMA,Primarindo Asia Infrastructure,1994-08-30,608175716,Pengembangan,Consumer Cyclicals,168,102173520288,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
BINA,Bank Ina Perdana Tbk.,2014-01-16,5877722813,Utama,Financials,3800,22335346689400,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2014-01-16,2022-10-14
BINO,Perma Plasindo Tbk.,2021-11-25,2175000000,Pengembangan,Industrials,133,289275000000,2021-11-25 09:00:00,2022-10-14 15:59:00,2021-11-25 09:00:00,2022-10-14 16:00:00,2021-11-25,2022-10-14
BIPI,Astrindo Nusantara Infrastrukt,2010-02-11,44693066193,Pengembangan,Energy,138,6167643134634,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2010-02-11,2022-10-14
BIPP,Bhuwanatala Indah Permai Tbk.,1995-10-23,5028669366,Pengembangan,Properties & Real Estate,52,261490807032,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
